"","df_index","Y","KNN","NB","DT","RF","SVC","dataset"
"11",1094,0,1,1,1,1,1,"dataset1"
"138",2233,0,1,1,1,1,1,"dataset1"
"140",548,0,1,1,1,1,1,"dataset1"
"224",2374,0,1,1,1,1,1,"dataset1"
"232",2201,0,1,1,1,1,1,"dataset1"
"348",1791,0,1,1,1,1,1,"dataset1"
"402",1105,0,1,1,1,1,1,"dataset1"
"413",2197,0,1,1,1,1,1,"dataset1"
"457",941,0,1,1,1,1,1,"dataset1"
"467",1035,0,1,1,1,1,1,"dataset1"
"506",1586,0,1,1,1,1,1,"dataset1"
"560",2813,0,1,1,1,1,1,"dataset1"
"635",451,0,1,1,1,1,1,"dataset1"
"709",458,0,1,1,1,1,1,"dataset1"
"723",1059,0,1,1,1,1,1,"dataset1"
"725",2263,0,1,1,1,1,1,"dataset1"
"741",936,0,1,1,1,1,1,"dataset1"
"776",1135,0,1,1,1,1,1,"dataset1"
"61",2515,1,0,0,0,0,0,"dataset1"
"135",1423,1,0,0,0,0,0,"dataset1"
"148",1979,1,0,0,0,0,0,"dataset1"
"161",158,1,0,0,0,0,0,"dataset1"
"170",784,1,0,0,0,0,0,"dataset1"
"190",636,1,0,0,0,0,0,"dataset1"
"231",673,1,0,0,0,0,0,"dataset1"
"266",1999,1,0,0,0,0,0,"dataset1"
"280",2512,1,0,0,0,0,0,"dataset1"
"296",802,1,0,0,0,0,0,"dataset1"
"324",1435,1,0,0,0,0,0,"dataset1"
"330",1869,1,0,0,0,0,0,"dataset1"
"351",1887,1,0,0,0,0,0,"dataset1"
"405",2071,1,0,0,0,0,0,"dataset1"
"423",1374,1,0,0,0,0,0,"dataset1"
"433",50,1,0,0,0,0,0,"dataset1"
"479",2586,1,0,0,0,0,0,"dataset1"
"501",77,1,0,0,0,0,0,"dataset1"
"521",870,1,0,0,0,0,0,"dataset1"
"530",741,1,0,0,0,0,0,"dataset1"
"538",2584,1,0,0,0,0,0,"dataset1"
"584",1394,1,0,0,0,0,0,"dataset1"
"620",2495,1,0,0,0,0,0,"dataset1"
"679",184,1,0,0,0,0,0,"dataset1"
"712",1317,1,0,0,0,0,0,"dataset1"
"728",1830,1,0,0,0,0,0,"dataset1"
"749",606,1,0,0,0,0,0,"dataset1"
"807",1362,1,0,0,0,0,0,"dataset1"
"833",764,1,0,0,0,0,0,"dataset1"
